pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/21/2019,87,2.7151,4.5375,Alex Claudio,571467,592222,null,ball,,,,,14,null,R,R,L,MIL,PIT,B,null,null,0,0,2019,1.4377,-0.4661,1.168,2.1017,null,null,null,1,7,Top,null,null,,,518735,,190922_013347,-6.3589,-126.3856,1.1908,16.0329,24.5831,-37.4701,3.31,1.54,null,null,null,85.15,1932,5.081,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.4181,null,null,null,null,null,null,null,57,1,Sinker,8,1,1,8,1,8,1,8,Standard,Standard
SI,9/21/2019,86.7,2.5818,4.4739,Alex Claudio,592567,592222,field_out,hit_into_play,,,,,14,"Colin Moran grounds out, third baseman Cory Spangenberg to first baseman Eric Thames.  ",R,L,L,MIL,PIT,X,5,ground_ball,0,0,2019,1.3791,-0.6128,0.9996,1.7657,null,null,null,0,7,Top,109.01,166.38,,,518735,,190922_013306,-6.3727,-125.9549,0.8917,15.4737,24.3398,-38.9272,3.59,1.73,2,83.8,-41.6,85.318,2011,5.378,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.122,0.053,0.05,0,1,0,0,2,56,1,Sinker,8,1,1,8,1,8,1,8,Infield shift,Standard
SI,9/18/2019,87,2.7292,4.5224,Alex Claudio,543333,592222,double,hit_into_play_no_out,,,,,4,"Eric Hosmer doubles (29) on a sharp line drive to center fielder Trent Grisham, deflected by left fielder Cory Spangenberg.  ",R,L,L,MIL,SD,X,7,line_drive,1,0,2019,1.6489,-0.4418,-0.4106,2.4726,null,null,null,0,7,Top,80.58,90.78,,,518735,,190919_013102,-10.5013,-126.0197,2.0617,18.9487,23.2772,-37.3598,3.71,1.77,237,105.8,10.7,85.274,2147,5.226,567628,592222,518735,519346,669374,519058,606115,605486,663757,592325,55.2738,0.908,0.939,1.25,1,1,1,4,46,2,Sinker,1,2,2,1,2,1,2,1,Standard,Standard
SI,9/18/2019,86.1,2.575,4.459,Alex Claudio,543333,592222,null,ball,,,,,13,null,R,L,L,MIL,SD,B,null,null,0,0,2019,1.4676,-0.5017,-1.2216,2.286,null,null,null,0,7,Top,null,null,,,518735,,190919_013038,-11.6889,-124.7808,2.0047,17.1283,22.1891,-37.9,3.8491,1.8989,null,null,null,85.053,2032,5.577,567628,592222,518735,519346,669374,519058,606115,605486,663757,592325,54.9223,null,null,null,null,null,null,null,46,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard
SI,9/16/2019,86.4,2.4094,4.3601,Alex Claudio,605361,592222,field_out,hit_into_play,,,,,9,"Nick Martini grounds out sharply, second baseman Cory Spangenberg to first baseman Eric Thames.  ",R,L,L,MIL,SD,X,4,ground_ball,3,2,2019,1.3623,-0.4716,0.7091,1.7353,null,null,null,2,8,Top,145.35,145.18,,,518735,,190917_015919,-6.5685,-125.3744,0.8952,15.1775,25.5343,-37.4193,3.45,1.69,137,98.1,6.8,84.594,1986,5.284,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,55.2159,0.6,0.531,0,1,0,0,4,59,6,Sinker,5,1,1,5,1,5,1,5,Standard,Standard
CH,9/16/2019,71.6,2.6198,4.5505,Alex Claudio,605361,592222,null,ball,,,,,13,null,R,L,L,MIL,SD,B,null,null,2,2,2019,1.4921,-0.1071,-1.04,1.4771,null,null,null,2,8,Top,null,null,,,518735,,190917_015854,-9.6405,-103.691,1.6834,12.2989,17.5938,-33.4547,3.289,1.5588,null,null,null,70.995,2014,6.118,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,54.3813,null,null,null,null,null,null,null,59,5,Changeup,5,1,1,5,1,5,1,5,Standard,Standard
CH,9/16/2019,75.1,2.2346,4.479,Alex Claudio,605361,592222,null,ball,,,,,13,null,R,L,L,MIL,SD,B,null,null,1,2,2019,1.5484,-0.0673,-1.7123,-0.0512,null,null,null,2,8,Top,null,null,,,518735,,190917_015831,-10.7342,-108.7816,-2.0466,13.9513,18.4199,-32.5838,3.4352,1.6116,null,null,null,74.343,2097,5.905,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,54.5946,null,null,null,null,null,null,null,59,4,Changeup,5,1,1,5,1,5,1,5,Standard,Standard
SI,9/16/2019,85.9,2.3684,4.2735,Alex Claudio,605361,592222,null,ball,,,,,8,null,R,L,L,MIL,SD,B,null,null,0,2,2019,1.3922,-0.4415,0.2466,1.5374,null,null,null,2,8,Top,null,null,,,518735,,190917_015807,-7.5985,-124.6957,0.6233,15.5745,24.1921,-37.0192,3.3436,1.6136,null,null,null,84.489,2018,5.423,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,55.0761,null,null,null,null,null,null,null,59,3,Sinker,5,1,1,5,1,5,1,5,Standard,Standard
SL,9/16/2019,77.1,2.5614,4.4712,Alex Claudio,605361,592222,null,swinging_strike,,,,,7,null,R,L,L,MIL,SD,S,null,null,0,1,2019,-0.9894,0.4202,-0.4398,1.598,null,null,null,2,8,Top,null,null,,,518735,,190917_015743,-4.5568,-112.0024,0.127,-7.2081,19.9804,-29.0585,3.45,1.69,null,null,null,75.572,2409,5.24,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,55.2597,null,null,null,null,null,null,null,59,2,Slider,5,1,1,5,1,5,1,5,Standard,Standard
SI,9/16/2019,86.2,2.4037,4.3944,Alex Claudio,605361,592222,null,called_strike,,,,,8,null,R,L,L,MIL,SD,S,null,null,0,0,2019,1.3673,-0.2442,0.1618,2.2359,null,null,null,2,8,Top,null,null,,,518735,,190917_015724,-7.8341,-125.1639,1.5246,15.4149,23.6593,-35.2018,3.5875,1.7036,null,null,null,84.755,1965,5.327,567626,592222,518735,519346,605486,519058,606115,460075,456715,663757,55.1729,null,null,null,null,null,null,null,59,1,Sinker,5,1,1,5,1,5,1,5,Standard,Standard
